TEMPLATE_ID,SUBJECT_ID,AGE,SKIN_COLOUR,GENDER,HEAD_POSE,SOURCE,GLASSES,BOUNDING_BOX_SIZE,NAME
71255,14021,1,0,0,1,1,0,1,0
151473,31093,0,1,0,1,0,0,1,1
43410,11849,0,0,1,0,1,0,0,2
108823,27970,0,0,1,1,1,0,1,3
71048,14005,0,0,1,0,0,0,1,4
39066,3507,1,0,0,0,0,1,0,5
103156,27802,1,0,0,1,1,0,1,6
71828,14056,1,0,0,1,1,0,1,7
53888,12842,0,0,1,0,0,0,1,8
108935,27972,1,0,1,0,0,1,1,9
32189,2460,1,0,0,0,1,1,1,10
31702,2421,1,0,0,1,1,0,1,11
158766,32563,1,0,0,1,0,0,1,12
4804,127,2,0,0,1,1,1,1,13
139941,28910,1,0,0,1,0,0,0,14
109313,27986,1,0,0,1,1,0,1,15
4378,102,1,1,0,0,1,0,1,16
132237,28702,1,0,1,1,1,0,1,17
43639,11917,1,0,1,1,1,1,1,18
72414,14092,2,0,0,1,1,1,1,19
69291,13892,1,0,1,1,1,0,1,20
62378,13331,1,0,0,1,1,1,1,21
102722,27793,1,1,0,0,1,0,1,22
129875,28628,0,1,1,1,1,0,1,23
47603,12571,1,1,0,0,1,0,1,24
60794,13255,0,1,0,1,0,0,1,25
109456,27991,1,0,0,1,1,0,1,26
123712,28428,1,0,0,1,1,1,1,27
73135,14148,0,0,1,1,1,0,1,28
52923,12781,1,1,1,0,1,0,1,29
7805,304,1,0,0,0,1,1,1,30
6170,179,1,0,0,1,0,0,0,31
44397,12053,1,1,0,1,1,0,1,32
108954,27973,1,0,1,0,1,0,1,33
150945,30984,1,0,1,0,0,0,1,34
124707,28465,1,1,0,1,1,0,1,35
1504,36,0,0,0,1,1,0,1,36
90661,27447,2,0,1,1,1,0,1,37
29276,2079,1,0,0,1,0,0,0,38
100440,27731,1,0,0,1,1,0,1,39
77073,27067,1,0,1,1,1,0,1,40
7513,304,1,0,0,1,1,1,1,30
62385,13331,1,0,0,1,1,1,1,21
140646,28934,0,0,1,1,1,0,0,41
149758,30743,1,0,1,1,0,1,1,42
27315,1825,1,0,0,1,1,0,1,43
97273,27646,1,0,0,1,1,0,1,44
76732,27059,1,0,0,1,1,1,1,45
30881,2371,1,0,0,1,1,0,1,46
2493,68,1,0,0,1,1,0,1,47
117888,28258,1,1,0,1,1,0,1,48
114678,28164,1,0,1,0,0,0,0,49
5009,136,2,0,0,1,1,1,1,50
133403,28732,2,0,0,1,1,0,1,51
124387,28450,2,0,0,0,1,0,1,52
55308,12929,0,0,0,1,1,0,1,53
113343,28119,1,0,0,1,0,1,0,54
37304,2933,2,0,0,1,1,0,0,55
113819,28140,0,0,1,0,0,0,1,56
57464,13067,0,0,1,1,0,0,1,57
38729,3379,1,0,1,1,1,0,1,58
116809,28221,1,1,0,1,1,1,1,59
36936,2846,1,0,0,1,1,0,1,60
137194,28839,1,0,0,1,1,1,1,61
106587,27900,1,0,1,0,0,0,0,62
13581,565,1,0,0,1,1,1,0,63
127888,28560,1,0,1,0,1,1,0,64
17948,966,0,0,0,0,0,0,1,65
101504,27764,1,0,1,1,0,0,1,66
